ln,lt,growth_rate,omega,ky,weighted_growth_rate,s,alpha
1.0,3.0,0.1313637157514121,0.1721480043176891,0.8955389853880861,0.11100744510375175,0.26363636363636367,-0.571198664289053
1.0,3.0,0.15769703079147487,0.30698971233043254,1.339975165324572,0.13561470973749265,0.25,0.0
1.0,3.0,0.1322265327913123,0.16873627164902633,0.8955389853880861,0.108845517222732,0.18181818181818182,-3.998390650023373
1.0,3.0,0.15712627980392174,0.307286266500506,1.339975165324572,0.13559356244106843,0.26363636363636367,-6.283185307179586
1.0,3.0,0.16602303503194507,0.3028750702781967,1.339975165324572,0.13209647280288178,0.1,2.8559933214452666
1.0,3.0,0.16015324560468094,0.30447944509098174,1.339975165324572,0.1339475092245562,0.18181818181818182,1.7135959928671598
1.0,3.0,0.1464650089585488,0.35332399228845607,1.339975165324572,0.11751026537674848,0.25,-5.140787978601479
1.0,3.0,0.16602312333609462,0.3028750702781968,1.339975165324572,0.13210650507157398,0.1,-2.8559933214452666
1.0,3.0,0.15712627980392174,0.307286266500506,1.339975165324572,0.13559356244106854,0.26363636363636367,0.0
1.0,3.0,0.13083861261895086,0.1715559591929519,0.8955389853880861,0.10989335656959731,0.25,0.571198664289053
1.0,3.0,0.1599101641528516,0.30900480839845823,1.339975165324572,0.1296378873195653,0.18181818181818182,-2.8559933214452666
1.0,3.0,0.1293815413829879,0.1647865142621505,0.8955389853880861,0.1030799276670608,0.1,3.9983906500233726
1.0,3.0,0.14595612361476992,0.35397302352082866,1.339975165324572,0.11674384627923895,0.26363636363636367,-5.140787978601479
1.0,3.0,0.15991006500177796,0.30900480839845845,1.339975165324572,0.12962443986836633,0.18181818181818182,2.8559933214452666
1.0,3.0,0.13403974814511826,0.1709164964526204,0.8955389853880861,0.11126651112627907,0.25,-3.998390650023373
1.0,3.0,0.16698330013666807,0.3007641661480107,1.339975165324572,0.13419793900147417,0.1,-1.7135959928671598
1.0,3.0,0.13136693103621333,0.172148004317689,0.8955389853880861,0.11102044301218987,0.26363636363636367,0.571198664289053
1.0,3.0,0.1566136925534098,0.30765739287930877,1.339975165324572,0.13649134005853475,0.25,1.7135959928671598
1.0,3.0,0.16015322604189186,0.30447944509098174,1.339975165324572,0.13399812984806045,0.18181818181818182,-1.7135959928671598
1.0,3.0,0.16519010188097333,0.32958916066005656,1.339975165324572,0.13097547065711473,0.1,5.14078797860148
1.0,3.0,0.1344138431828734,0.17117411136296246,0.8955389853880861,0.11202492029958544,0.26363636363636367,-3.998390650023373
1.0,3.0,0.13222599231620846,0.16873627164909627,0.8955389853880861,0.10885743785919583,0.18181818181818182,3.9983906500233726
1.0,3.0,0.1527226253698246,0.1582869318936113,0.8955389853880861,0.12657421860294363,0.25,-2.8559933214452666
