Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
    10,  6.4112e+02, -1.2805576879331121e-01, -2.4974506152192658e-02,  1.5147089706678404e-01,  1.2405460524642145e-01,  1.2290602260454608e-01, -3.3722452382880838e-02,  3.1300975089883742e-01, -1.6694108849825015e-01,  8.6494108167101152e-02
    11,  7.1717e+02, -1.2931008224585061e-01, -2.3379211740497077e-02,  1.5046030018877052e-01,  1.2137356254644405e-01,  1.2024625000037670e-01, -3.2788359844746734e-02,  3.1291831843194207e-01, -1.6756542302966854e-01,  8.7224728113655767e-02
    12,  7.3668e+02, -1.2835346424804908e-01, -2.4635673599631668e-02,  1.5124800077082462e-01,  1.2327879336770084e-01,  1.2230744865358009e-01, -3.3735196554888776e-02,  3.1288038201030810e-01, -1.6718979171230916e-01,  8.5899016481969043e-02
    13,  8.1404e+02, -1.2858379527182340e-01, -2.4458958962059501e-02,  1.5082840240537335e-01,  1.2274321238310981e-01,  1.2148521379281579e-01, -3.3725937809371165e-02,  3.1313082532273151e-01, -1.6726706869923613e-01,  8.5716891097114362e-02
    14,  8.9229e+02, -1.2868346751361870e-01, -2.4420263327557999e-02,  1.5076171344710745e-01,  1.2261718472793504e-01,  1.2127626789735765e-01, -3.3745230656555124e-02,  3.1317444254861942e-01, -1.6732235995241837e-01,  8.6282450179399131e-02
    15,  9.1118e+02, -1.2860665248493910e-01, -2.4457481551299547e-02,  1.5081706299021697e-01,  1.2270380526585352e-01,  1.2143761412104175e-01, -3.3739635799337267e-02,  3.1313568447622464e-01, -1.6728614530425814e-01,  8.6674871749760019e-02
    16,  9.2980e+02, -1.2858885280356636e-01, -2.4460967749345912e-02,  1.5082728857269065e-01,  1.2273191846657064e-01,  1.2147476164876062e-01, -3.3730289556239336e-02,  3.1313115478093784e-01, -1.6727242955672883e-01,  8.6695604219801006e-02
    17,  9.4895e+02, -1.2858498559868503e-01, -2.4459703338311593e-02,  1.5082830629660182e-01,  1.2274028025566062e-01,  1.2148276291543909e-01, -3.3727062866283887e-02,  3.1313084418973136e-01, -1.6726843415519504e-01,  8.5687827042167056e-02
    18,  1.0267e+03, -1.2858745765663132e-01, -2.4460882179929758e-02,  1.5082782004679779e-01,  1.2273455648014875e-01,  1.2147764292260835e-01, -3.3729253930407627e-02,  3.1313095596407220e-01, -1.6727114219503894e-01,  8.6741770194515663e-02
    19,  1.0458e+03, -1.2858558413805798e-01, -2.4460062535521413e-02,  1.5082823327575931e-01,  1.2273882106117451e-01,  1.2148152572847128e-01, -3.3727619067188713e-02,  3.1313085591084816e-01, -1.6726911735302463e-01,  8.6844843926581455e-02
    20,  1.0644e+03, -1.2858513392975054e-01, -2.4459797352061496e-02,  1.5082829123823108e-01,  1.2273991372451194e-01,  1.2148245648105309e-01, -3.3727202327049816e-02,  3.1313084611864567e-01, -1.6726860526534282e-01,  8.6891558603536534e-02
    21,  1.0836e+03, -1.2858502259864649e-01, -2.4459727107710865e-02,  1.5082830273415224e-01,  1.2274018851539394e-01,  1.2148268648857474e-01, -3.3727097755159204e-02,  3.1313084460967511e-01, -1.6726847695083955e-01,  8.6913887266497014e-02
    22,  1.1034e+03, -1.2858499484347968e-01, -2.4459709297322538e-02,  1.5082830541865894e-01,  1.2274025731389020e-01,  1.2148274382012507e-01, -3.3727071589951557e-02,  3.1313084429082960e-01, -1.6726844485521697e-01,  8.6927709932427918e-02
    23,  1.1230e+03, -1.2858498790955863e-01, -2.4459704829106244e-02,  1.5082830607790851e-01,  1.2274027451979926e-01,  1.2148275814232390e-01, -3.3727065047290866e-02,  3.1313084421476300e-01, -1.6726843683026962e-01,  8.5687773722802257e-02
